Nombre,URL,Nombre_limpio,Latitud,Longitud
YACIMIENTO DE CERCADILLA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/yacimiento-de-cercadilla/,YACIMIENTO DE CERCADILLA,37.8878221,-4.7926686
MAUSOLEO DE LA ALBERCA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/mausoleo-de-la-alberca-20130131131858/,MAUSOLEO DE LA ALBERCA,40.4892667,-6.1107228
MAUSOLEO DE CENTCELLES,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/mausoleode-centcelles-20130130223328/,MAUSOLEO DE CENTCELLES,41.1558426,1.2259901
VILLA ROMANA LA OLMEDA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/villa-romana-la-olmeda-20141010110757/,VILLA ROMANA LA OLMEDA,42.4817812,-4.7365716
MAUSOLEO DE LAS VEGAS DE SAN ANTONIO,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/mausoleo-de-las-vegas-de-san-antonio/,MAUSOLEO DE LAS VEGAS DE SAN ANTONIO,36.171563,-115.1391009
BASILICA DE TORRE DE PALMA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/bas-lica-de-torre-de-palma-20130303014651/,BASILICA DE TORRE DE PALMA,39.5674251,2.6482994
VILLA ROMANA DE CARRANQUE,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/villa-romana-de-carranque-20130131192137/,VILLA ROMANA DE CARRANQUE,40.1891904,-3.9509854
EL CASON (JUMILLA),https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/el-cason-jumilla/,EL CASON,37.8936582,-0.9685315
CONJUNTO ARQUEOLÓGICO DE CÁSTULO,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/conjunto-arqueologico-de-castulo/,CONJUNTO ARQUEOLÓGICO DE CÁSTULO,38.0420907,-3.624562
SAN FRUCTUOSO DE FRANCOLÍ (R),https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/san-frctuoso-de-francol-20130223013254/,SAN FRUCTUOSO DE FRANCOLÍ,41.25484186287495,1.149818812792023
SANTA CECILIA DE ELS ALTAMIRIS,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/santa-cecilia-de-els-altamiris/,SANTA CECILIA DE ELS ALTAMIRIS,42.0816634,0.6874323999999999
VILLA FORTUNATUS,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/villa-fortunatus/,VILLA FORTUNATUS,41.55630559999999,0.3185556
